Fecha,Codigo habilitaci¢n,NOMBRE SEDE PRESTADOR,Localidad,Upz,"Numerador
Camas ocupadas covid -19 confirmados y probables","Denominador
(camas asignadas atenci¢n covid-19)",%Ocupaci¢n covid 19
4/13/2020,110010966601,CL?NICA DEL OCCIDENTE S.A.,KENNEDY,AMêRICAS,4,6,66.7%
4/13/2020,110010918668,CL?NICA INFANTIL SANTA MAR?A DEL LAGO,ENGATIV?,BOYAC? REAL,4,9,44.4%
4/13/2020,110012507001,ADMINISTRADORA CL?NICA LA COLINA SAS,SUBA,CASA BLANCA SUBA,4,9,44.4%
4/13/2020,110010945601,HOSPITAL UNIVERSITARIO SAN IGNACIO,CHAPINERO,CHAPINERO,5,8,62.5%
4/13/2020,110010817151,CL?NICA COLSUBSIDIO CALLE 100,CHAPINERO,CHIC? LAGO,4,11,36.4%
4/13/2020,110010959901,CL?NICA DEL COUNTRY IPS,CHAPINERO,CHIC? LAGO,7,19,36.8%
4/13/2020,110012529701,CL?NICA LOS NOGALES SAS,CHAPINERO,CHIC? LAGO,1,6,16.7%
4/13/2020,110013502501,CL?NICA NUEVA EL LAGO S.A.S - SEDE CALLE 76,CHAPINERO,CHIC? LAGO,3,6,50.0%
4/13/2020,110010918630,CL?NICA UNIVERSITARIA COLOMBIA,TEUSAQUILLO,CIUDAD SALITRE ORIENTAL,9,23,39.1%
4/13/2020,110011613301,HOSPITAL INFANTIL UNIVERSITARIO DE SAN JOSE,BARRIOS UNIDOS,DOCE DE OCTUBRE,6,8,75.0%
4/13/2020,110013029625,Unidad de Servicios de Salud Fontib¢n,FONTIB?N,FONTIB?N,2,6,33.3%
4/13/2020,110010817103,CL?NICA COLSUBSIDIO CIUDAD ROMA,KENNEDY,KENNEDY CENTRAL,4,15,26.7%
4/13/2020,110012215001,CL?NICA MEDICAL S.A.S. PROINFO,KENNEDY,KENNEDY CENTRAL,3,32,9.4%
4/13/2020,110010644701,FUNDACI?N ABOOD SHAIO,SUBA,LA FLORESTA,1,8,12.5%
4/13/2020,110011864201,HOSPITAL UNIVERSITARIO MAYOR-MEDERI,LOS M?RTIRES,LA SABANA,12,24,50.0%
4/13/2020,110012688701,NATIONAL CLINICS CENTENARIO SAS,LOS M?RTIRES,LA SABANA,13,20,65.0%
4/13/2020,110010867901,SOCIEDAD DE CIRUG?A DE BOGOT? - HOSPITAL DE SAN JOSê,LOS M?RTIRES,LA SABANA,3,9,33.3%
4/13/2020,110013029101,UNIDAD DE SERVICIOS DE SALUD SIM?N BOL?VAR,USAQUêN,LA URIBE,9,33,27.3%
